parking_id,horizon,n_first,n_second,mae_first,mae_second,mae_overall,baseline_mae,baseline_name,evidence_report,evaluated_at,status,reason
7,15,281,388,0.053,0.406,0.258,0.258,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(0.26)보다 나쁨 — 모델을 쓸 이유가 없음
8,15,659,767,1.772,2.086,1.941,2.365,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.36) 대비 우위
9,15,659,767,1.461,1.24,1.342,1.491,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.49) 대비 우위
10,15,659,767,1.064,1.214,1.145,1.343,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.34) 대비 우위
11,15,659,767,2.818,2.436,2.612,2.84,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.84) 대비 우위
12,15,659,767,0.538,0.876,0.72,0.722,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(0.72) 대비 우위
13,15,659,767,1.063,2.004,1.57,1.569,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(1.57)보다 나쁨 — 모델을 쓸 이유가 없음
14,15,40,234,2.209,0.656,0.883,0.883,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 40행/후반 234행)
16,15,659,767,0.788,0.937,0.868,1.552,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.55) 대비 우위
17,15,659,767,0.614,0.959,0.799,0.8,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(0.80) 대비 우위
18,15,659,767,1.358,1.718,1.552,1.559,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.56) 대비 우위
20,15,659,767,1.394,1.05,1.209,1.277,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.28) 대비 우위
21,15,659,767,1.198,1.261,1.232,1.291,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.29) 대비 우위
22,15,120,310,5.413,5.162,5.232,5.216,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,below_baseline,persistence 기준선(5.22)보다 나쁨 — 모델을 쓸 이유가 없음
23,15,51,235,1.953,1.647,1.701,1.69,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,insufficient,표본 부족(전반 51행/후반 235행)
24,15,659,767,1.424,1.717,1.582,1.628,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.63) 대비 우위
25,15,659,767,1.57,2.016,1.81,1.827,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(1.83) 대비 우위
26,15,516,767,2.904,2.621,2.735,2.76,persistence,reports/tables/accuracy_gate_detail.csv,2026-09-20,certified,전·후반 모두 MAE 10%p 이하 · persistence(2.76) 대비 우위
